Brunei Darussalam, 342,97,439                       
Cambodia,3924,12559 ,16483                    
China  ,856409  ,563653   ,1420062                 
Fiji                ,521      ,397       ,919                       
Indonesia           ,150900  ,118636   ,269536                   
Kiribati            ,66       ,54        ,120                       
Lao People Dem. Rep.,2518    ,4546     ,7064                     
Malaysia            ,24862   ,7592     ,32454                   
Marshall Islands    ,41       ,12        ,53                        
Mongolia            ,2170    ,996       ,3166                     
Myanmar             ,16764   ,37573    ,54336                                             
Papua New Guinea    ,1138    ,7449     ,8587                     
Philippines         ,50971   ,57135    ,108106                                             
Singapore           ,5868    ,0         ,5868                                               
Thailand            ,35133   ,34173    ,69306                    
Timor-Leste         ,419      ,934       ,1352                     
Tonga               ,25       ,85        ,110                       
Vietnam             ,35687   ,61742    ,97429 
